,Name,country,politicalGroup,id,nationalPoliticalGroup,Vote
492,Penkova,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197845,Bulgarian Socialist Party,
493,Pereira,Portugal,The Left group in the European Parliament - GUE/NGL,197754,Partido Comunista Portugues,
494,Pereira,Portugal,Group of the European People's Party (Christian Democrats),197738,Partido Social Democrata,
495,Marie Peter Hansen,Denmark,Group of the Greens/European Free Alliance,197573,Socialistisk Folkeparti,
496,Petersen,Denmark,Renew Europe Group,124872,Det Radikale Venstre,
497,Picierno,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124846,Partito Democratico,
498,Picula,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,112744,Socijaldemokratska Partija Hrvatske,
499,Pieper,Germany,Group of the European People's Party (Christian Democrats),28224,Christlich Demokratische Union Deutschlands,
500,Pietikainen,Finland,Group of the European People's Party (Christian Democrats),40599,Kansallinen Kokoomus,
501,Pignedoli,Italy,Non-attached Members,197619,Movimento 5 Stelle,
502,Pimenta Lopes,Portugal,The Left group in the European Parliament - GUE/NGL,136236,Partido Comunista Portugues,
503,Pineda,Spain,The Left group in the European Parliament - GUE/NGL,197828,Izquierda Unida,
504,Pirbakas,France,Non-attached Members,197629,Reconquete!,
505,Pisapia,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197590,Independent,
506,Pislaru,Romania,Renew Europe Group,197663,Reinnoim Proiectul European Al Romaniei,
507,Pizarro,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197732,Partido Socialista,
508,Plumb,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,38595,Partidul Social Democrat,
509,Polcak,Czechia,Group of the European People's Party (Christian Democrats),124704,Starostove A Nezavisli,
510,Polfjard,Sweden,Group of the European People's Party (Christian Democrats),197404,Moderaterna,
511,Pollak,Slovakia,Group of the European People's Party (Christian Democrats),197765,Obycajni Ludia A Nezavisle Osobnosti,
512,Ponsati Obiols,Spain,Non-attached Members,204443,Junts Per Catalunya   Lliures Per Europa,
513,Piotr Poreba,Poland,European Conservatives and Reformists Group,96801,Prawo I Sprawiedliwosc,
514,Pospisil,Czechia,Group of the European People's Party (Christian Democrats),125706,Top 09 A Starostove,
515,Procaccini,Italy,European Conservatives and Reformists Group,197820,Fratelli D'Italia,
516,Puigdemont I Casamajo,Spain,Non-attached Members,202351,Junts Per Catalunya   Lliures Per Europa,
517,Radacovsky,Slovakia,Non-attached Members,197764,Slovak Patriot,
518,Radev,Bulgaria,Group of the European People's Party (Christian Democrats),124850,Citizens For European Development Of Bulgaria,
519,Radtke,Germany,Group of the European People's Party (Christian Democrats),188945,Christlich Demokratische Union Deutschlands,
